Year,5% Tornado,15% Hail,15% Wind,Combined
1979,25993600,10446400,2633600,33750400
1980,26734400,18544000,10216000,42684800
1981,24176000,12380800,4310400,33076800
1982,29808000,22196800,6542400,46388800
1983,27673600,21395200,7150400,44667200
1984,26838400,24446400,6625600,44107200
1985,21060800,31558400,6080000,47982400
1986,24456000,29668800,7169600,50336000
1987,20699200,21251200,9425600,42187200
1988,20062400,21427200,7427200,40590400
1989,25342400,32953600,12331200,54380800
1990,31606400,32201600,10801600,56955200
1991,32489600,42553600,11740800,64518400
1992,34910400,50534400,14134400,75790400
1993,33212800,49902400,15600000,74683200
1994,29926400,54556800,15904000,76836800
1995,31716800,65161600,18633600,88265600
1996,32286400,79697600,45832000,112384000
1997,31436800,66859200,44142400,101827200
1998,38435200,91912000,55718400,130963200
1999,33985600,84833600,50089600,116888000
2000,31320000,91404800,58662400,127435200
2001,31939200,96376000,65480000,137523200
2002,25235200,95388800,71798400,136387200
2003,32196800,103264000,93227200,155358400
2004,41726400,100390400,88393600,157472000
2005,30907200,104190400,93512000,162459200
2006,27740800,114459200,106920000,174460800
2007,28873600,103979200,102198400,164368000
2008,40156800,132145600,120868800,194889600
2009,31820800,103779200,98216000,158296000
2010,32488000,64795200,118022400,156443200
2011,36820800,93280000,142238400,185592000
2012,22520000,75446400,111544000,154779200
2013,23702400,62148800,98731200,134430400
2014,25352000,59123200,97448000,131529600
2015,30478400,59841600,104824000,143878400
2016,26515200,62404800,111476800,150793600
2017,35552000,63238400,107476800,146092800
2018,29243200,52806400,106894400,142214400
