Rank,2%,5%,10%,15%,30%,45%,60%
1,"2008-06-20 (4,777,600)","2008-06-22 (3,830,400)","2008-06-22 (2,979,200)","2008-06-22 (2,588,800)","2008-06-22 (2,004,800)","2008-06-22 (1,648,000)","2008-06-22 (1,323,200)"
2,"2008-06-22 (4,739,200)","2008-06-20 (3,716,800)","2005-06-06 (2,934,400)","2005-06-06 (2,475,200)","2009-06-15 (1,681,600)","2009-06-15 (1,395,200)","2003-05-09 (1,224,000)"
3,"2005-06-06 (4,635,200)","2005-06-06 (3,715,200)","2008-07-22 (2,798,400)","2008-07-22 (2,352,000)","2008-05-25 (1,588,800)","2003-05-09 (1,358,400)","2004-05-21 (1,187,200)"
4,"2008-07-22 (4,622,400)","2008-07-22 (3,627,200)","2008-06-20 (2,788,800)","2008-05-31 (2,264,000)","2005-06-06 (1,585,600)","2004-05-21 (1,353,600)","2009-06-15 (1,179,200)"
5,"2008-06-10 (4,446,400)","2008-06-10 (3,489,600)","2008-05-31 (2,688,000)","2008-06-19 (2,224,000)","2002-06-04 (1,584,000)","2008-05-25 (1,345,600)","2006-04-02 (1,145,600)"
6,"2008-06-21 (4,276,800)","2008-06-21 (3,329,600)","2008-06-10 (2,638,400)","2008-06-20 (2,211,200)","2004-05-24 (1,582,400)","2011-05-22 (1,281,600)","2006-04-07 (1,139,200)"
7,"2008-05-31 (4,035,200)","2008-05-31 (3,323,200)","2008-06-19 (2,619,200)","2009-06-17 (2,192,000)","2004-05-21 (1,580,800)","2004-05-24 (1,272,000)","2008-05-25 (1,137,600)"
8,"2008-06-23 (4,022,400)","2008-06-19 (3,212,800)","2009-06-17 (2,507,200)","2009-06-15 (2,190,400)","2011-05-22 (1,560,000)","2006-04-02 (1,244,800)","2011-05-22 (1,091,200)"
9,"2008-06-19 (3,950,400)","2008-06-23 (3,187,200)","2008-06-21 (2,491,200)","2002-06-04 (2,155,200)","2003-05-09 (1,555,200)","2006-04-07 (1,220,800)","2005-05-08 (1,068,800)"
10,"2008-06-27 (3,929,600)","2009-06-15 (2,993,600)","2009-06-15 (2,483,200)","2008-06-10 (2,150,400)","2009-06-17 (1,550,400)","2005-05-08 (1,217,600)","2007-04-03 (1,054,400)"
